nohup: ignoring input
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:21][获取index单例成功...][searcher.hpp 29]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7400][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7450][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:46][当前已经建立的索引文档数目: 7500][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:46][当前已经建立的索引文档数目: 7550][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:46][当前已经建立的索引文档数目: 7600][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:46][当前已经建立的索引文档数目: 7650][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:46][当前已经建立的索引文档数目: 7700][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:47][当前已经建立的索引文档数目: 7750][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:48][当前已经建立的索引文档数目: 7800][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:48][当前已经建立的索引文档数目: 7850][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:48][当前已经建立的索引文档数目: 7900][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:49][当前已经建立的索引文档数目: 7950][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:50][当前已经建立的索引文档数目: 8000][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:51][当前已经建立的索引文档数目: 8050][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:52][当前已经建立的索引文档数目: 8100][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:53][建立正排索引和倒排索引成功][searcher.hpp 33]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:53][服务启动成功...][http_server.cc 36]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:7][用户223.104.195.45正在搜索:你好世界!][http_server.cc 30]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:7][你好关键词在倒排索引中不存在...][index.hpp 81]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:7][世界关键词在倒排索引中不存在...][index.hpp 81]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:13][用户223.104.195.45正在搜索:你好世界][http_server.cc 30]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:13][你好关键词在倒排索引中不存在...][index.hpp 81]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:13][世界关键词在倒排索引中不存在...][index.hpp 81]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:23][用户223.104.195.45正在搜索:html][http_server.cc 30]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:32][用户223.104.195.45正在搜索:js][http_server.cc 30]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:32][js关键词在倒排索引中不存在...][index.hpp 81]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:38][用户223.104.195.45正在搜索:go][http_server.cc 30]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:27:44][用户223.104.195.45正在搜索:gcc][http_server.cc 30]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:30:7][用户223.104.195.45正在搜索:msvc][http_server.cc 30]
/var/tmp/sclgUM7PB: line 8: 12019 Killed                  'nohup' './http_server'
